Date,Time,TxBat(V),RSSI(dB),RX,SWR,VFR(%),RxBatt(V),LiPo1(V),LiPo2(V),LiPo3(V),LiPo4(V),LiPo5(V),LiPo6(V),LiPo7(V),LiPo8(V),LiPo1(V),LiPo2(V),LiPo3(V),LiPo4(V),LiPo5(V),LiPo6(V),LiPo7(V),LiPo8(V),Altitude(m),VSpeed(m/s),RPM(rpm),Current(A),GPS,GPS clock(),GPS speed(nudos),GPS alt(m),GPS course(°),ADC2(V),Air speed(nudos),VFAS(V),RB Ch. State(),RB State(),R.angle(°),P.angle(°),GASS temp1(°C),GASS temp2(°C),GASS RPM(rpm),GASS res. vol.(ml),GASS res. %(%),GASS flow(ml/min),GASS max flow(ml/min),GASS avg flow(ml/min),H.pressure(Pa),ESC RPM(rpm),ESC consumption(mAh),RxBatt1(V),RxBatt2(V),RxCurrent(A),Rx Quality(%),Rx RSSI1(dB),Rx RSSI2(dB),Antenna,Rx SNR(dB),RF Mode,Tx Power,Tx Quality(%),Tx RSSI(dB),Tx SNR(dB),Timón,Profundidad,Motor,Alerón,Pot1,Pot2,Pot3,Deslizador izquierdo,Deslizador derecho,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LS1,LS2,LS3,LS4,LS5,
2024-12-12,11:22:40.270,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:40.540,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:40.800,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:41.070,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:41.340,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:41.600,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:41.870,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:42.130,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:42.400,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:42.670,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:42.940,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:43.200,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:43.460,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:43.720,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:43.980,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:44.250,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:44.510,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:44.770,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:45.030,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:45.300,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:45.560,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:45.830,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:46.090,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:46.360,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:46.630,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:46.890,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:47.150,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:47.410,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
2024-12-12,11:22:47.680,7.50,64,0,32,100,5.38,3.20,3.20,,,,,,,3.20,3.20,3.20,3.20,3.20,3.20,,,0.00,1.04,360,36.0,31.212543 -21.765524,2022-08-02 20:01:07,20.480,0.00,0.16,36.00,80.0,8.00,CH1CH2CH3CH4CH5CH6CH7CH8CH9CH10CH11CH12CH13CH14CH15CH16 KO,RX1 Overload, RX2 Overload, SBUS Overload, RX1 Failsafe, RX1 Lost Frame, RX2 Failsafe, RX2 Lost Frame, RX1 Connection Lost, RX2 Connection Lost, RX1 No Signal, RX2 No Signal, RX3 Failsafe, RX3 Lost Frame, RX3 Connection Lost, RX3 No Signal,7.52,-2.62,,,,,,,,,800,80000,0,1.75,4.30,0.18,35,-116,-116,1,-116,5,0,18,-116,-55,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,
